
BOH;Bohemia;Boh?e;B?men;;Bohemia;;;;;;;;;x;;;;
DZG;Danzig-Pomeralia;Dantzig;Danzig;;Danzig;;;;;;;;;x;;;;
KRA;Galicia-Lodomeria;Cracovie;Krakau;;Cracovia;;;;;;;;;x;;;;
SIE;Transilvania;Transylvanie;Siebenb?gen;;Transilvania;;;;;;;;;x;;;;
SAR;Savoy;Pi?ont-Sardaigne;Sardinien-Piemont;;Piamonte-Cerde?;;;;;;;;;x;;;;
SIC;Napoles;Deux-Siciles;Sizilien-Neapel;;Las Dos Sicilias;;;;;;;;;x;;;;
ENG;Anglia;Royaume-Uni;Gro?ritannien;;Reino Unido;;;;;;;;;x;;;;
AFG;Durrani Empire;Afghanistan;Afghanistan;;Afganist?;;;;;;;;;x;;;;
CAM;Khmer Empire;Cambodge;Kambodscha;;Camboya;;;;;;;;;x;;;;
USA;Fredikerjord;?ats-Unis d'Am?ique;USA;;EE UU;;;;;;;;;x;;;;
COL;Vestlandet;Colombie;Columbia;;Columbia;;;;;;;;;x;;;;
NEN;New Sjaelland;Nouvelle-Angleterre;Neuengland;;Nueva Inglaterra;;;;;;;;;x;;;;
CUB;Kuba;Cuba;Kuba;;Cuba;;;;;;;;;x;;;;
QUE;Vinland;Qu?ec;Quebec;;Quebec;;;;;;;;;x;;;;
ARG;Provincias Unidas De La Plata;Argentine;Argentinien;;Argentina;;;;;;;;;x;;;;
CLM;Nueva Granada;Colombie;Kolumbien;;Colombia;;;;;;;;;x;;;;
MAN;The Union Of Vinland;Manhattan;Manhattan-Kommune;;Com de Manhattan;;;;;;;;;x;;;;
MUG;Mughal Empire;Mogholistan;Mughalistan;;Mughalist?;;;;;;;;;x;;;;
AGO_ADJ;Aragonese;Aragonese;Aragonese;;;;;;;;;;;x;
IBR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
IBR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
IBR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
IBR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
IBR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
IBR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
IBR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
IBR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
ANG_ADJ;Angevin;Angevin;Angevin;;;;;;;;;;;x;
ANG;Angevin Empire;Angevin Empire;Angevin Empire;;;;;;;;;;;x;
ANG_proletarian_dictatorship;Union Of England-France;Union Of England-France;Union Of England-France;;;;;;;;;;;x;
ANG_presidential_dictatorship;Angevin Republic;Angevin Republic;Angevin Republic;;;;;;;;;;;x;
ANG_bourgeois_dictatorship;Angevin Empire;Angevin Empire;Angevin Empire;;;;;;;;;;;x;
ANG_fascist_dictatorship;Angevin Empire;Angevin Empire;Angevin Empire;;;;;;;;;;;x;
ANG_absolute_monarchy;Angevin Empire;Angevin Empire;Angevin Empire;;;;;;;;;;;x;
ANG_prussian_constitutionalism;Angevin Empire;Angevin Empire;Angevin Empire;;;;;;;;;;;x;
ANG_hms_government;Angevin Empire;Angevin Empire;Angevin Empire;;;;;;;;;;;x;
ANG_democracy;Anglo-French Republic;Anglo-French Republic;Anglo-French Republic;;;;;;;;;;;x;
ANG_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ANG_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ANG_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ANG_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ANG_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ANG_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ANG_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ANG_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ANG_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
LOT_ADJ;Lothar;Lothar;Lothar;;;;;;;;;;;x;
LOT;Lotharingia;Lotharingia;Lotharingia;;;;;;;;;;;x;
LOT_proletarian_dictatorship;Lotharingian Peoples Republic;Lotharingian peoples republic;Lotharingian peoples republic;;;;;;;;;;;x;
LOT_presidential_dictatorship;Republic Of Lotharingia;Republic Of Lotharingia;Republic Of Lotharingia;;;;;;;;;;;x;
LOT_bourgeois_dictatorship;State Of Lotharingia;State Of Lotharingia;State Of Lotharingia;;;;;;;;;;;x;
LOT_fascist_dictatorship;Lotharingian Empire;Lotharingian Empire;Lotharingian Empire;;;;;;;;;;;x;
LOT_absolute_monarchy;Kingdom Of Lotharingia;Kingdom Of Lotharingia;Kingdom Of Lotharingia;;;;;;;;;;;x;
LOT_prussian_constitutionalism;Kingdom Of Lotharingia;Kingdom Of Lotharingia;Kingdom Of Lotharingia;;;;;;;;;;;x;
LOT_hms_government;Kingdom Of Lotharingia;Kingdom Of Lotharingia;Kingdom Of Lotharingia;;;;;;;;;;;x;
LOT_democracy;Republic Of Lotharingia;Republic Of Lotharingia;Republic Of Lotharingia;;;;;;;;;;;x;
LOT_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
LOT_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
LOT_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
LOT_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
LOT_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
LOT_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
LOT_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
LOT_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
LOT_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
BRT_ADJ;Breton;Breton;Breton;;;;;;;;;;;x;
BRT;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRT_proletarian_dictatorship;Democratic Republic Of Brittany;Democratic Republic Of Brittany;Democratic Republic Of Brittany;;;;;;;;;;;x;
BRT_presidential_dictatorship;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRT_bourgeois_dictatorship;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRT_fascist_dictatorship;State Of Brittany;State Of Brittany;State Of Brittany;;;;;;;;;;;x;
BRT_absolute_monarchy;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRT_prussian_constitutionalism;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRT_hms_government;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRT_democracy;Republic Of Brittany;Republic Of Brittany;Republic Of Brittany;;;;;;;;;;;x;
BRT_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
BRT_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
BRT_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
BRT_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
BRT_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
BRT_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
BRT_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
BRT_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
BRT_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
AVR_ADJ;Aversan;Aversan;Aversan;;;;;;;;;;;x;
AVR;Aversa;Aversa;Aversa;;;;;;;;;;;x;
AVR_proletarian_dictatorship;Democratic Republic Of Aversa;Democratic Republic Of Aversa;Democratic Republic Of Aversa;;;;;;;;;;;x;
AVR_presidential_dictatorship;Aversa;Aversa;Aversa;;;;;;;;;;;x;
AVR_bourgeois_dictatorship;Aversa;Aversa;Aversa;;;;;;;;;;;x;
AVR_fascist_dictatorship;State Of Aversa;State Of Aversa;State Of Aversa;;;;;;;;;;;x;
AVR_absolute_monarchy;Kingdom Of Aversa;Kingdom Of Aversa;Kingdom Of Aversa;;;;;;;;;;;x;
AVR_prussian_constitutionalism;Aversa;Aversa;Aversa;;;;;;;;;;;x;
AVR_hms_government;Aversa;Aversa;Aversa;;;;;;;;;;;x;
AVR_democracy;Republic Of Aversa;Republic Of Aversa;Republic Of Aversa;;;;;;;;;;;x;
AVR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
AVR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
AVR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
AVR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
AVR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
AVR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
AVR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
AVR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
AVR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
NDY_ADJ;Norman;Norman;Norman;;;;;;;;;;;x;
NDY;Normandy;Normandy;Normandy;;;;;;;;;;;x;
NDY_proletarian_dictatorship;Democratic Republic Of Normandy;Democratic Republic Of Normandy;Democratic Republic Of Normandy;;;;;;;;;;;x;
NDY_presidential_dictatorship;Normandy;Normandy;Normandy;;;;;;;;;;;x;
NDY_bourgeois_dictatorship;Normandy;Normandy;Normandy;;;;;;;;;;;x;
NDY_fascist_dictatorship;Norman Empire;Norman Empire;Norman Empire;;;;;;;;;;;x;
NDY_absolute_monarchy;Kingdom Of Normandy;Kingdom Of Normandy;Kingdom Of Normandy;;;;;;;;;;;x;
NDY_prussian_constitutionalism;Normandy;Normandy;Normandy;;;;;;;;;;;x;
NDY_hms_government;Normandy;Normandy;Normandy;;;;;;;;;;;x;
NDY_democracy;Republic Of Normandy;Republic Of Normandy;Republic Of Normandy;;;;;;;;;;;x;
NDY_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
NDY_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
NDY_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
NDY_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
NDY_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
NDY_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
NDY_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
NDY_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
NDY_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
MEL_ADJ;Melfian;Melfian;Melfian;;;;;;;;;;;x;
MEL;Melfis;Melfis;Melfis;;;;;;;;;;;x;
MEL_proletarian_dictatorship;Melfis;Melfis;Melfis;;;;;;;;;;;x;
MEL_presidential_dictatorship;Melfis;Melfis;Melfis;;;;;;;;;;;x;
MEL_bourgeois_dictatorship;Melfis;Melfis;Melfis;;;;;;;;;;;x;
MEL_fascist_dictatorship;Melfis;Melfis;Melfis;;;;;;;;;;;x;
MEL_absolute_monarchy;Melfis;Melfis;Melfis;;;;;;;;;;;x;
MEL_prussian_constitutionalism;Melfis;Melfis;Melfis;;;;;;;;;;;x;
MEL_hms_government;Melfis;Melfis;Melfis;;;;;;;;;;;x;
MEL_democracy;Melfis;Melfis;Melfis;;;;;;;;;;;x;
MEL_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
MEL_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
MEL_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
MEL_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
MEL_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
MEL_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
MEL_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
MEL_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
MEL_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
SCL_ADJ;Sicilian;Sicilian;Sicilian;;;;;;;;;;;x;
SCL;Sicily;Sicily;Sicily;;;;;;;;;;;x;
SCL_proletarian_dictatorship;Sicily;Sicily;Sicily;;;;;;;;;;;x;
SCL_presidential_dictatorship;Sicily;Sicily;Sicily;;;;;;;;;;;x;
SCL_bourgeois_dictatorship;Sicily;Sicily;Sicily;;;;;;;;;;;x;
SCL_fascist_dictatorship;Sicily;Sicily;Sicily;;;;;;;;;;;x;
SCL_absolute_monarchy;Sicily;Sicily;Sicily;;;;;;;;;;;x;
SCL_prussian_constitutionalism;Sicily;Sicily;Sicily;;;;;;;;;;;x;
SCL_hms_government;Sicily;Sicily;Sicily;;;;;;;;;;;x;
SCL_democracy;Sicily;Sicily;Sicily;;;;;;;;;;;x;
SCL_conservative_87;Moderati;Moderati;Moderati;;;;;;;;;;;x;
SCL_liberal_81;Riformisti;Riformisti;Riformisti;;;;;;;;;;;x;
SCL_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SCL_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SCL_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SCL_reactionary_81;Restaurazionisti;Restaurazionisti;Restaurazionisti;;;;;;;;;;;x;
SCL_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SCL_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
SCL_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
TRK_ADJ;Turkestani;Turkestani;Turkestani;;;;;;;;;;;x;
TRK;Turkestan;Turkestan;Turkestan;;;;;;;;;;;x;
TRK_proletarian_dictatorship;Turkestan;Turkestan;Turkestan;;;;;;;;;;;x;
TRK_presidential_dictatorship;Turkestan;Turkestan;Turkestan;;;;;;;;;;;x;
TRK_bourgeois_dictatorship;Turkestan;Turkestan;Turkestan;;;;;;;;;;;x;
TRK_fascist_dictatorship;Turkestan;Turkestan;Turkestan;;;;;;;;;;;x;
TRK_absolute_monarchy;Turkestan;Turkestan;Turkestan;;;;;;;;;;;x;
TRK_prussian_constitutionalism;Turkestan;Turkestan;Turkestan;;;;;;;;;;;x;
TRK_hms_government;Turkestan;Turkestan;Turkestan;;;;;;;;;;;x;
TRK_democracy;Turkestan;Turkestan;Turkestan;;;;;;;;;;;x;
TRK_conservative_83;Royal Faction;Royal Faction;Royal Faction;;;;;;;;;;;x;
TRK_liberal_85;The Liberal Faction;The Liberal Faction;The Liberal Faction;;;;;;;;;;;x;
TRK_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
TRK_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
TRK_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
TRK_reactionary_87;The Nationalist Faction;The Nationalist Faction;The Nationalist Faction;;;;;;;;;;;x;
TRK_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
TRK_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
TRK_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
CHR_ADJ;Chernigovian;Chernigovian;Chernigovian;;;;;;;;;;;x;
CHR;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CHR_proletarian_dictatorship;Peoples Republic Of Chernigov;Peoples Republic Of Chernigov;Peoples Republic Of Chernigov;;;;;;;;;;;x;
CHR_presidential_dictatorship;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CHR_bourgeois_dictatorship;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CHR_fascist_dictatorship;State Of Chernigov;State Of Chernigov;State Of Chernigov;;;;;;;;;;;x;
CHR_absolute_monarchy;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CHR_prussian_constitutionalism;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CHR_hms_government;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CHR_democracy;Republic Of Chernigov;Republic Of Chernigov;Republic Of Chernigov;;;;;;;;;;;x;
CHR_conservative_89;Slavophile;Slavophile;Slavophile;;;;;;;;;;;x;
CHR_liberal_82;Westerniser;Westerniser;Westerniser;;;;;;;;;;;x;
CHR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
CHR_socialist_81;Social Democratic;Social-d?ocrate;Social Democratic;;Socialdem?ratas;;;;;;;;;x;;;;
CHR_socialist_114;Menshevik;Menshevik;Menschewiki;;Mencheviques;;;;;;;;;x;;;;
CHR_reactionary_74;Panslavic;Panslavic;Panslavic;;;;;;;;;;;x;
CHR_anarcho_liberal_83;Kadets;Kadets;Kadetten;;Kadetes;;;;;;;;;x;;;;
CHR_communist_85;Bolshevik;Bolshevik;Bolschewiki;;Bolcheviques;;;;;;;;;x;;;;
CHR_fascist_81;Fascists;Fascistes;Faschisten;;Fascistas;;;;;;;;;x;;;;
SNN_ADJ;Swedish-Norwegian;Swedish-Norwegian;Swedish-Norwegian;;;;;;;;;;;x;
SNN;Sweden-Norway;Sweden-Norway;Sweden-Norway;;;;;;;;;;;x;
SNN_proletarian_dictatorship;Peoples Republic Of Sweden-Norway;Peoples Republic Of Sweden-Norway;Peoples Republic Of Sweden-Norway;;;;;;;;;;;x;
SNN_presidential_dictatorship;Sweden-Norway;Sweden-Norway;Sweden-Norway;;;;;;;;;;;x;
SNN_bourgeois_dictatorship;Sweden-Norway;Sweden-Norway;Sweden-Norway;;;;;;;;;;;x;
SNN_fascist_dictatorship;State Of Sweden-Norway;State Of Sweden-Norway;State Of Sweden-Norway;;;;;;;;;;;x;
SNN_absolute_monarchy;Sweden-Norway;Sweden-Norway;Sweden-Norway;;;;;;;;;;;x;
SNN_prussian_constitutionalism;Sweden-Norway;Sweden-Norway;Sweden-Norway;;;;;;;;;;;x;
SNN_hms_government;Sweden-Norway;Sweden-Norway;Sweden-Norway;;;;;;;;;;;x;
SNN_democracy;Republic Of Sweden-Norway;Republic Of Sweden-Norway;Republic Of Sweden-Norway;;;;;;;;;;;x;
SNN_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
SNN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
SNN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SNN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SNN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SNN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
SNN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SNN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
SNN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
DKN_ADJ;Danish-Norwegian;Danish-Norwegian;Danish-Norwegian;;;;;;;;;;;x;
DKN;Denmark-Norway;Denmark-Norway;Denmark-Norway;;;;;;;;;;;x;
DKN_proletarian_dictatorship;Peoples Republic Of Denmark Norway;Peoples Republic Of Denmark Norway;Peoples Republic Of Denmark Norway;;;;;;;;;;;x;
DKN_presidential_dictatorship;Denmark-Norway;Denmark-Norway;Denmark-Norway;;;;;;;;;;;x;
DKN_bourgeois_dictatorship;Denmark Norway;Denmark Norway;Denmark Norway;;;;;;;;;;;x;
DKN_fascist_dictatorship;Union Of Denmark-Norway;Union Of Denmark-Norway;Union Of Denmark-Norway;;;;;;;;;;;x;
DKN_absolute_monarchy;Denmark-Norway;Denmark-Norway;Denmark-Norway;;;;;;;;;;;x;
DKN_prussian_constitutionalism;Denmark-Norway;Denmark-Norway;Denmark-Norway;;;;;;;;;;;x;
DKN_hms_government;Denmark-Norway;Denmark-Norway;Denmark-Norway;;;;;;;;;;;x;
DKN_democracy;Republic Of Denmark-Norway;Republic Of Denmark-Norway;Republic Of Denmark-Norway;;;;;;;;;;;x;
DKN_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
DKN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
DKN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
DKN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
DKN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
DKN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
DKN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
DKN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
DKN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
SFN_ADJ;Swedo-Finnish;Swedo-Finnish;Swedo-Finnish;;;;;;;;;;;x;
SFN;Sweden-Finland;Sweden-Finland;Sweden-Finland;;;;;;;;;;;x;
SFN_proletarian_dictatorship;Sweden-Finland;Sweden-Finland;Sweden-Finland;;;;;;;;;;;x;
SFN_presidential_dictatorship;Sweden-Finland;Sweden-Finland;Sweden-Finland;;;;;;;;;;;x;
SFN_bourgeois_dictatorship;Sweden-Finland;Sweden-Finland;Sweden-Finland;;;;;;;;;;;x;
SFN_fascist_dictatorship;Sweden-Finland;Sweden-Finland;Sweden-Finland;;;;;;;;;;;x;
SFN_absolute_monarchy;Sweden-Finland;Sweden-Finland;Sweden-Finland;;;;;;;;;;;x;
SFN_prussian_constitutionalism;Sweden-Finland;Sweden-Finland;Sweden-Finland;;;;;;;;;;;x;
SFN_hms_government;Sweden-Finland;Sweden-Finland;Sweden-Finland;;;;;;;;;;;x;
SFN_democracy;Sweden-Finland;Sweden-Finland;Sweden-Finland;;;;;;;;;;;x;
SFN_conservative_87;Konservativa Partiet;Konservativa Partiet;Konservativa Partiet;;;;;;;;;;;x;
SFN_liberal_86;Liberala Partiet;Liberala Partiet;Liberala Partiet;;;;;;;;;;;x;
SFN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SFN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SFN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SFN_reactionary_80;Nationalpartiet;Nationalpartiet;Nationalpartiet;;;;;;;;;;;x;
SFN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SFN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
SFN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
SIB_ADJ;Siberian;Siberian;Siberian;;;;;;;;;;;x;
SIB;Sibir;Sibir;Sibir;;;;;;;;;;;x;
SIB_proletarian_dictatorship;Sibir;Sibir;Sibir;;;;;;;;;;;x;
SIB_presidential_dictatorship;Sibir;Sibir;Sibir;;;;;;;;;;;x;
SIB_bourgeois_dictatorship;Sibir;Sibir;Sibir;;;;;;;;;;;x;
SIB_fascist_dictatorship;Sibir;Sibir;Sibir;;;;;;;;;;;x;
SIB_absolute_monarchy;Sibir;Sibir;Sibir;;;;;;;;;;;x;
SIB_prussian_constitutionalism;Sibir;Sibir;Sibir;;;;;;;;;;;x;
SIB_hms_government;Sibir;Sibir;Sibir;;;;;;;;;;;x;
SIB_democracy;Sibir;Sibir;Sibir;;;;;;;;;;;x;
SIB_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
SIB_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
SIB_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SIB_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SIB_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SIB_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
SIB_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SIB_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
SIB_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
KZK_ADJ;Kazakh;Kazakh;Kazakh;;;;;;;;;;;x;
KZK;Kazakhistan;Kazakhistan;Kazakhistan;;;;;;;;;;;x;
KZK_proletarian_dictatorship;Kazakhistan;Kazakhistan;Kazakhistan;;;;;;;;;;;x;
KZK_presidential_dictatorship;Kazakhistan;Kazakhistan;Kazakhistan;;;;;;;;;;;x;
KZK_bourgeois_dictatorship;Kazakhistan;Kazakhistan;Kazakhistan;;;;;;;;;;;x;
KZK_fascist_dictatorship;Kazakhistan;Kazakhistan;Kazakhistan;;;;;;;;;;;x;
KZK_absolute_monarchy;Kazakhistan;Kazakhistan;Kazakhistan;;;;;;;;;;;x;
KZK_prussian_constitutionalism;Kazakhistan;Kazakhistan;Kazakhistan;;;;;;;;;;;x;
KZK_hms_government;Kazakhistan;Kazakhistan;Kazakhistan;;;;;;;;;;;x;
KZK_democracy;Kazakhistan;Kazakhistan;Kazakhistan;;;;;;;;;;;x;
KZK_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
KZK_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
KZK_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
KZK_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
KZK_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
KZK_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
KZK_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
KZK_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
KZK_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
MUS_ADJ;Muscovyan;Muscovyan;Muscovyan;;;;;;;;;;;x;
MUS;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_proletarian_dictatorship;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_presidential_dictatorship;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_bourgeois_dictatorship;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_fascist_dictatorship;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_absolute_monarchy;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_prussian_constitutionalism;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_hms_government;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_democracy;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_conservative_75;Slavophile;Slavophile;Slavophile;;;;;;;;;;;x;
MUS_liberal_81;Westerniser;Westerniser;Westerniser;;;;;;;;;;;x;
MUS_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
MUS_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
MUS_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
MUS_reactionary_74;Panslavic;Panslavic;Panslavic;;;;;;;;;;;x;
